query,user_id,user_location,user_device_type,user_request_type
ヘッドホンを返品したいのですが。,00000,アメリカ,モバイル,返金リクエスト
ヘッドホンの返金をお願いします。,00000,アメリカ,モバイル,返金リクエスト
返金がまだ届いていません。どうなっていますか？,00001,アメリカ,デスクトップ,返金ステータス問い合わせ
iPhoneを返品したいです。,00002,イギリス,デスクトップ,返金リクエスト
今日届いたiPhoneの色が違います。返品できますか？,00002,イギリス,デスクトップ,返金リクエスト
iPhoneを別の色に交換したいのですが。,00002,イギリス,デスクトップ,返金リクエスト
返品できない場合、色の交換は可能でしょうか？,00002,イギリス,デスクトップ,返金リクエスト
スマートウォッチ（注文番号O005）の返金処理状況を確認したいのですが。,00003,アメリカ,デスクトップ,返金ステータス問い合わせ
購入したBluetoothスピーカーの音が途切れます。返品可能でしょうか？,00004,イギリス,デスクトップ,返金リクエスト
このゲーミングキーボード、キーの音が想像以上にうるさくて使えません。返金してください！,00005,イギリス,モバイル,返金リクエスト
2日前に壊れたノートパソコンスタンドの返金を申請しましたが、まだ処理されていません。急ぎの対応をお願いします。,00006,イギリス,モバイル,返金ステータス問い合わせ
先月購入した商品の返金は可能ですか？,00007,イギリス,モバイル,返金リクエスト
新しいiPad Proの画面が点滅して使い物になりません。10万円近く払ったのに、こんなことって。,00008,アメリカ,モバイル,返金リクエスト
購入したメカニカルキーボードがうるさすぎて、同僚から苦情が来ています。返品できませんか？,00009,アメリカ,モバイル,返金リクエスト
これ、ちゃんと動きません。返金してください。,00010,日本,モバイル,返金リクエスト
なぜSSDの返金が拒否されたんですか？どのポートでも認識しないのに、おかしいじゃないですか！,00011,アメリカ,デスクトップ,返金ステータス問い合わせ
すみません、注文した商品に問題があります。,00012,アメリカ,デスクトップ,返金リクエスト
2日前にゲーミングヘッドセットの返金を申請したのですが、進捗を教えていただけますか？,00013,アメリカ,デスクトップ,返金ステータス問い合わせ
返金してください！！,00014,日本,デスクトップ,返金リクエスト
届いたモニターに死角があります。返金を申請したいのですが。,00015,日本,デスクトップ,返金リクエスト
ワイヤレスキーボードを受け取ったばかりですが、キーの半分が引っかかります。至急返金をお願いします。,00016,アメリカ,モバイル,返金リクエスト
品質が期待していたものと違います。返金可能ですか？,00017,アメリカ,モバイル,返金リクエスト
先週注文した商品が正常に動作しません。,00018,日本,モバイル,返金リクエスト
このモバイルバッテリー、全く充電が持ちません。使い物になりませんので、返金をお願いできますか？,00019,日本,モバイル,返金リクエスト
液晶保護フィルムにヒビが入った状態で届きました。返金は可能でしょうか？,00020,アメリカ,モバイル,返金リクエスト
最近購入した商品の調子が良くないです。,00021,アメリカ,モバイル,返金リクエスト
カメラレンズを受け取ったばかりですが、傷だらけです。返品したいです。,00022,アメリカ,デスクトップ,返金リクエスト
昨日購入したヘッドホンが動きません。,00023,アメリカ,デスクトップ,無効なリクエスト
ヘッドホンを返送できますか？,00023,アメリカ,デスクトップ,無効なリクエスト
ヘッドホンの支払いはしましたが、まだ届いていません。今から発送できますか？,00023,アメリカ,デスクトップ,無効なリクエスト
ヘッドホンはまだ届かないのでしょうか？,00023,アメリカ,デスクトップ,無効なリクエスト
注文について問い合わせがあります。,00023,アメリカ,デスクトップ,無効なリクエスト
宿題を手伝ってもらえませんか？sin(cos(x))の微分について知りたいです。,00023,アメリカ,デスクトップ,無効なリクエスト
